time,x-acceleration,y-acceleration,z-acceleration
6.400,0.195,-0.152,0.767
6.420,0.040,-0.279,0.898
6.440,0.080,-0.381,0.905
6.460,0.082,-0.410,0.854
6.480,0.037,-0.507,0.842
6.500,0.048,-0.588,0.813
6.520,0.065,-0.548,0.800
6.540,-0.013,-0.495,0.802
6.560,0.131,-0.451,0.958
6.580,0.227,-0.400,1.175
6.600,0.343,-0.433,1.256
6.620,0.909,-0.469,1.302
6.640,-0.075,-0.496,1.171
6.660,-0.347,-0.408,1.124
6.680,-0.107,-0.383,1.055
6.700,-0.053,-0.377,0.983
6.720,-0.044,-0.344,1.033
6.740,-0.049,-0.316,1.061
6.760,-0.154,-0.261,0.953
6.780,-0.205,-0.287,0.873
6.800,-0.005,-0.379,0.897
6.820,0.135,-0.355,0.975
6.840,0.062,-0.246,0.959
6.860,0.051,-0.192,0.961
6.880,0.242,-0.162,0.960
6.900,0.427,-0.174,0.940
6.920,0.344,-0.196,0.863
6.940,0.460,-0.246,0.847
6.960,0.734,-0.355,0.890
6.980,0.468,-0.403,0.833
7.000,0.237,-0.401,0.829
7.020,0.165,-0.439,0.827
7.040,0.269,-0.489,0.862
7.060,0.309,-0.523,0.899
7.080,0.370,-0.564,0.940
7.100,0.264,-0.599,1.004
7.120,0.227,-0.652,1.016
7.140,0.417,-0.658,1.018
7.160,0.447,-0.624,1.033
7.180,0.294,-0.514,1.033
7.200,0.097,-0.408,0.968
7.220,0.073,-0.387,0.925
7.240,0.196,-0.402,0.947
7.260,0.400,-0.365,0.986
7.280,0.136,-0.376,0.949
7.300,-0.030,-0.415,0.918
7.320,-0.159,-0.417,0.961
7.340,-0.228,-0.413,0.973
7.360,-0.187,-0.358,0.927
7.380,-0.220,-0.330,0.853
7.400,-0.331,-0.272,0.840
7.420,-0.247,-0.292,0.808
7.440,-0.105,-0.329,0.698
7.460,0.071,-0.257,0.737
7.480,0.309,-0.141,0.908
7.500,0.419,-0.084,1.018
7.520,0.381,-0.010,0.921
7.540,0.357,0.060,0.851
7.560,0.448,0.091,0.920
7.580,0.533,0.127,1.024
7.600,0.172,0.199,0.972
7.620,0.088,0.294,0.955
7.640,0.254,0.287,0.969
7.660,0.268,0.307,0.989
7.680,0.188,0.394,1.020
7.700,0.175,0.430,0.970
7.720,0.114,0.501,0.861
7.740,0.311,0.604,0.950
7.760,0.256,0.698,0.970
7.780,0.079,0.714,0.855
7.800,0.116,0.686,0.805
7.820,0.101,0.653,0.766
7.840,0.018,0.632,0.725
7.860,-0.025,0.586,0.588
7.880,0.008,0.549,0.553
7.900,-0.146,0.548,0.641
7.920,-0.160,0.504,0.672
7.940,-0.166,0.472,0.649
7.960,-0.187,0.455,0.704
7.980,-0.150,0.440,0.793
8.000,-0.107,0.384,0.831
8.020,-0.057,0.345,0.936
8.040,-0.133,0.335,1.064
8.060,-0.155,0.309,1.146
8.080,-0.217,0.247,1.146
8.100,-0.124,0.179,1.117
8.120,0.092,0.104,1.207
8.140,-0.129,0.341,1.311
8.160,-0.118,0.205,1.287
8.180,0.058,0.197,1.292
8.200,-0.146,0.183,1.151
8.220,-0.004,-0.016,1.018
8.240,0.539,-0.025,0.970
8.260,0.278,-0.100,0.879
8.280,0.516,-0.124,0.856
8.300,0.542,-0.198,0.825
8.320,0.238,-0.130,0.767
8.340,0.086,-0.080,0.741
8.360,0.013,-0.010,0.780
8.380,0.019,0.057,0.900
8.400,-0.012,0.072,1.123
8.420,0.044,0.790,1.258
8.440,-1.441,0.483,0.774
8.460,-1.300,0.331,0.833
8.480,-0.676,0.370,0.766
8.500,-0.603,0.272,0.857
8.520,-0.323,0.211,1.023
8.540,-0.149,0.174,0.981
8.560,-0.162,0.129,0.895
8.580,-0.138,0.128,0.898
8.600,-0.162,0.110,1.001
8.620,-0.167,0.096,1.118
8.640,-0.149,0.146,1.138
8.660,-0.205,0.132,1.022
8.680,-0.233,0.094,0.935
8.700,-0.127,0.038,0.991
8.720,0.014,0.030,1.044
8.740,-0.006,0.055,1.017
8.760,0.019,0.083,1.034
8.780,0.033,0.080,1.051
8.800,-0.032,0.071,1.029
8.820,-0.097,0.088,1.005
8.840,-0.089,0.069,0.989
8.860,-0.138,0.064,0.908
8.880,-0.144,0.099,0.969
8.900,-0.013,0.146,1.115
8.920,0.056,0.064,1.140
8.940,-0.037,0.040,1.055
8.960,-0.064,0.032,1.010
8.980,-0.159,0.046,1.034
9.000,-0.210,-0.005,1.044
9.020,-0.172,-0.056,0.905
9.040,-0.211,-0.056,0.881
9.060,-0.317,0.048,1.122
9.080,-0.384,0.035,1.304
9.100,-0.357,0.006,1.201
9.120,-0.354,0.029,1.048
9.140,-0.408,0.056,0.968
9.160,-0.371,0.075,0.907
9.180,-0.178,0.116,0.899
9.200,-0.043,0.142,0.898
9.220,-0.015,0.170,0.873
9.240,0.007,0.189,0.879
9.260,-0.009,0.193,0.896
9.280,-0.040,0.177,0.914
9.300,-0.054,0.146,0.935
9.320,-0.102,0.118,0.955
9.340,-0.118,0.102,0.969
9.360,-0.151,0.113,0.959
9.380,-0.149,0.116,0.967
9.400,-0.163,0.101,1.003
9.420,-0.228,0.097,1.011
9.440,-0.256,0.090,0.993
9.460,-0.233,0.073,1.020
9.480,-0.204,0.077,1.044
9.500,-0.191,0.090,1.048
9.520,-0.202,0.103,1.046
9.540,-0.222,0.106,1.017
9.560,-0.201,0.116,0.993
9.580,-0.161,0.114,1.006
9.600,-0.174,0.114,0.997
9.620,-0.159,0.117,0.983
9.640,-0.149,0.113,0.984
9.660,-0.142,0.118,0.985
9.680,-0.151,0.121,0.978
9.700,-0.133,0.119,0.984
9.720,-0.167,0.118,1.000
9.740,-0.182,0.103,1.005
9.760,-0.170,0.093,1.000
9.780,-0.170,0.082,1.003
9.800,-0.169,0.074,1.011
9.820,-0.148,0.071,1.005
9.840,-0.158,0.072,0.985
9.860,-0.152,0.078,0.971
9.880,-0.193,0.082,0.940
9.900,-0.178,0.104,0.900
9.920,-0.063,0.111,1.004
9.940,-0.051,0.098,1.119
9.960,-0.166,0.098,1.052
9.980,-0.184,0.100,0.984
10.000,-0.139,0.090,0.981
10.020,-0.155,0.106,0.986
10.040,-0.139,0.111,0.978
10.060,-0.171,0.126,0.919
10.080,-0.153,0.091,1.062
10.100,-0.045,0.075,1.149
10.120,-0.104,0.088,1.106
10.140,-0.105,0.094,1.086
10.160,-0.183,0.120,1.101
10.180,-0.256,0.139,1.083
10.200,-0.302,0.165,1.008
10.220,-0.157,0.250,0.978
10.240,-0.069,0.407,1.116
10.260,-0.133,0.566,1.327
10.280,-0.033,0.574,1.367
10.300,-0.053,0.538,1.294
10.320,-0.146,0.500,1.217
10.340,-0.149,0.444,1.133
10.360,-0.082,0.391,1.033
10.380,-0.009,0.375,0.894
10.400,0.077,0.345,0.835
10.420,0.017,0.259,0.705
10.440,0.031,0.243,0.635
10.460,-0.040,0.222,0.692
10.480,-0.011,0.236,0.801
10.500,0.211,0.248,0.887
